,London,Paris,Berlin,Rome,Madrid,Vienna ,Amsterdam,Brussels,Zurich,Lisbon,Stockholm,Oslo,Copenhagen,Helsinki,Dublin,Warsaw,Budapest,Prague,Athens,Brastislava,Ljubljana,Zagreb,Belgrade,Sofia,Bucharest,Tallinn,Riga,Vilnius,Sarajevo,Skopje,Podgorica,Tirana,Nicosia,Genebra,Dubrovnik,Vaduz,Chisinau,Reykjavik,Valleta,Luxembourg City,Monaco,Andorra la Vella,San Marino,Munich,Manchester,Seville,Milan,Nice,Porto ,Istambul,
Riga,2h30,2h40,1h40,3h,3h50,2h05,2h10,2h15,2h25,4h20,1h,1h30,1h20,1h,2h55,1h25,1h50,1h45,N/A,2h05,2h15,N/A,N/A,N/A,2h30,N/A,N/A,0h50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h25,2h30,N/A,3h35,N/A,2h50,3h35,N/A,2h10,2h35,N/A,2h40,N/A,N/A,3h,Riga
Vilnius,2h35,2h35,1h35,2h50,N/A,1h45,2h10,2h20,2h35,4h30,1h30,1h50,1h30,1h35,3h05,1h10,N/A,N/A,N/A,1h45,N/A,N/A,N/A,N/A,N/A,N/A,0h44,N/A,N/A,N/A,N/A,N/A,4h10,N/A,N/A,N/A,N/A,N/A,3h25,N/A,N/A,3h30,N/A,2h,N/A,N/A,2h40,N/A,N/A,3h05,Vilnius
Sarajevo,2h50,N/A,N/A,1h30,N/A,1h05,N/A,2h10,1h35,N/A,N/A,N/A,N/A,N/A,N/A,1h45,N/A,N/A,0h50,1h05,N/A,0h50,0h55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1h35,N/A,N/A,2h05,Sarajevo
Skopje,3h15,2h45,2h20,1h40,N/A,1h30,N/A,2h40,2h,N/A,N/A,3h15,N/A,N/A,N/A,2h10,1h25,N/A,1h25,1h30,1h30,1h25,1h10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h05,N/A,N/A,1h45,N/A,N/A,N/A,1h45,N/A,N/A,N/A,2h05,N/A,N/A,1h30,Skopje
Podgorica,2h40,N/A,N/A,N/A,N/A,1h20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h,1h20,N/A,N/A,1h20,N/A,N/A,0h55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1h45,N/A,N/A,1h55,Podgorica
Tirana,2h50,2h30,2h15,1h20,3h10,1h40,2h45,2h30,2h,N/A,3h05,3h15,N/A,N/A,N/A,2h10,1h30,1h55,N/A,1h40,N/A,N/A,1h15,N/A,1h30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h,N/A,N/A,N/A,N/A,1h55,2h35,1h35,N/A,3h05,N/A,1h40,N/A,N/A,1h50,Tirana
Nicosia,4h35,N/A,3h40,3h05,N/A,3h05,4h15,N/A,3h30,N/A,4h10,4h30,3h55,4h25,N/A,3h30,2h55,3h25,N/A,3h05,N/A,N/A,2h25,2h15,2h20,N/A,N/A,3h50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3h35,N/A,N/A,2h20,N/A,N/A,N/A,N/A,3h20,N/A,N/A,3h40,N/A,N/A,1h40,Nicosia
Genebra,1h40,1h05,1h45,1h35,2h,1h35,1h30,1h10,0h50,2h30,2h45,2h40,2h05,3h,2h15,2h20,1h55,3h25,N/A,1h35,N/A,N/A,2h10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0h50,N/A,N/A,N/A,1h05,1h,1h40,N/A,1h10,1h50,2h20,N/A,1h,2h25,3h25,Genebra
Dubrovnik,2h55,N/A,N/A,N/A,2h50,1h20,N/A,2h25,N/A,N/A,N/A,N/A,N/A,N/A,3h30,2h,N/A,N/A,0h55,1h20,N/A,0h55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h,Dubrovnik
Vaduz,1h40,1h15,1h25,1h35,2h25,1h25,1h25,1h10,N/A,2h50,2h25,2h30,1h45,2h50,2h10,2h05,1h40,1h20,1h30,1h25,1h15,1h30,1h55,N/A,2h35,N/A,2h35,N/A,1h50,2h05,N/A,2h10,N/A,0h55,N/A,N/A,N/A,N/A,2h25,0h55,1h15,1h45,1h15,0h55,1h55,2h30,1h,1h15,2h30,3h05,Vaduz
Chisinau,3h20,3h05,2h20,2h20,N/A,1h35,2h50,2h50,N/A,4h20,N/A,N/A,N/A,N/A,3h30,1h45,1h35,1h50,N/A,1h35,N/A,N/A,N/A,N/A,1h,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h,2h20,N/A,N/A,2h35,2h50,N/A,1h35,Chisinau
Reykjavik,3h05,3h40,3h30,5h,4h35,4h50,3h20,3h30,4h,4h30,3h30,3h10,3h25,3h55,2h40,4h35,5h,4h05,N/A,4h50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4h,N/A,N/A,N/A,N/A,N/A,4h40,N/A,4h,2h50,N/A,4h35,N/A,N/A,N/A,Reykjavik
Valleta,3h10,2h40,2h55,1h30,2h40,2h20,3h05,2h45,2h15,3h05,3h55,N/A,N/A,N/A,3h40,3h05,2h20,N/A,1h55,2h20,N/A,1h55,1h55,2h,2h30,N/A,3h50,3h30,N/A,1h50,N/A,N/A,2h50,N/A,N/A,2h15,N/A,N/A,N/A,2h35,2h20,2h10,1h55,2h20,3h30,2h45,2h,N/A,N/A,2h35,Valleta
Luxembourg City,1h15,1h,1h30,1h55,2h20,1h50,0h55,N/A,1h,2h40,2h45,N/A,1h50,N/A,1h50,2h05,2h10,1h25,N/A,1h45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1h05,N/A,1h,N/A,N/A,N/A,N/A,1h30,2h,N/A,1h05,N/A,N/A,1h20,1h35,2h25,3h35,Luxembourg City
Monaco,2h05,1h25,2h,1h20,1h55,1h45,1h55,1h45,1h10,2h25,3h,2h55,2h20,3h25,2h30,2h30,2h10,1h50,N/A,1h45,N/A,N/A,2h05,2h30,2h50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1h05,N/A,1h10,N/A,N/A,N/A,1h25,N/A,1h15,N/A,1h30,2h20,N/A,N/A,N/A,N/A,3h15,Monaco
Andorra la Vella,2h05,1h40,2h35,1h45,1h15,2h20,2h20,1h55,1h50,1h45,3h35,3h30,2h50,4h,2h25,3h10,2h35,2h20,N/A,2h25,N/A,N/A,2h35,3h,3h25,3h55,3h40,3h40,N/A,N/A,N/A,2h45,N/A,1h35,N/A,1h50,N/A,4h10,2h15,1h55,1h15,N/A,1h40,2h05,2h30,1h40,1h40,1h20,1h45,3h40,Andorra la Vella
San Marino,2h,1h35,1h40,0h55,2h20,1h15,1h55,1h35,1h05,2h50,N/A,N/A,2h05,N/A,2h30,2h05,1h30,1h35,N/A,1h15,N/A,N/A,2h15,2h05,2h15,N/A,N/A,N/A,N/A,1h55,N/A,1h40,N/A,N/A,N/A,1h05,2h25,N/A,1h55,N/A,N/A,1h40,N/A,1h15,2h15,2h40,N/A,N/A,2h35,2h45,San Marino
Munich,1h50,1h25,1h10,1h35,2h35,1h,1h20,1h15,0h55,3h15,2h15,2h15,1h35,2h45,2h15,1h45,1h15,0h55,1h05,1h,1h,1h10,1h35,2h10,2h15,2h30,2h15,2h05,N/A,N/A,N/A,N/A,3h55,1h10,N/A,0h55,N/A,3h45,2h30,1h05,1h25,2h10,1h10,N/A,1h55,3h,1h05,1h25,2h50,2h50,Munich
Manchester,1h05,1h25,2h05,2h55,2h40,2h35,1h20,1h25,2h,3h,2h30,2h05,1h50,3h,1h,2h50,2h55,2h20,N/A,2h35,N/A,N/A,N/A,N/A,3h50,N/A,3h05,N/A,N/A,N/A,N/A,3h30,N/A,1h55,N/A,2h,N/A,2h40,3h40,N/A,2h20,2h35,2h40,2h15,N/A,3h,2h10,N/A,N/A,4h25,Manchester
Seville,2h45,2h30,N/A,2h55,1h10,3h25,2h55,2h40,2h40,1h05,N/A,N/A,N/A,N/A,2h50,4h10,3h40,3h30,N/A,3h25,N/A,N/A,N/A,N/A,4h30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h20,N/A,2h40,N/A,N/A,3h,N/A,N/A,1h40,2h45,N/A,2h50,N/A,2h40,N/A,N/A,N/A,Seville
Milan,1h50,1h30,1h40,1h10,2h15,1h25,1h30,1h30,0h55,2h45,2h45,2h40,2h05,3h,2h25,2h10,1h40,1h35,1h20,1h25,N/A,1h20,1h45,2h10,2h30,3h,2h45,2h35,1h45,2h15,1h55,1h50,3h50,N/A,N/A,0h55,2h45,4h15,2h05,1h15,N/A,1h45,N/A,1h05,2h10,2h30,N/A,N/A,2h30,3h05,Milan
Nice,2h05,1h25,2h,1h20,1h55,1h45,1h55,1h45,1h10,2h25,3h,2h55,2h20,3h25,2h30,2h30,2h10,1h50,N/A,1h45,N/A,N/A,2h05,2h30,2h50,N/A,N/A,N/A,N/A,N/A,N/A,2h10,N/A,1h05,N/A,1h10,N/A,N/A,N/A,1h25,N/A,1h20,N/A,1h30,2h15,N/A,N/A,N/A,N/A,3h15,Nice
Porto ,2h25,2h05,3h25,3h05,1h15,3h30,2h45,2h30,2h35,1h,4h15,N/A,3h35,N/A,2h25,N/A,3h50,3h20,N/A,3h30,N/A,N/A,3h45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h25,N/A,2h35,N/A,N/A,3h25,2h30,2h10,1h55,3h,3h,2h30,1h15,2h40,N/A,N/A,5h05,Porto 
Istambul,3h50,3h30,2h50,2h30,4h10,2h15,3h25,3h20,2h50,4h55,3h35,3h50,3h10,3h50,4h30,2h45,2h05,2h40,2h15,2h15,2h25,2h15,1h40,1h30,1h15,3h35,3h20,3h05,1h50,1h30,1h45,1h40,1h40,3h15,N/A,2h50,1h30,N/A,2h35,3h20,3h05,3h35,2h30,2h40,4h05,4h30,2h40,3h05,4h45,N/A,Istambul
